Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg1-6,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg2-6,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg3-6,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg4-6,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Leg5-6,Leg6-1,Leg6-2,Leg6-3,Leg6-4,Leg6-5,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,longitude,not known,site_id,year
2019-09-03,3.0,12.0,0.0,,,9.0,1.0,4.0,,,7.0,1.0,2.0,,,0.0,7.0,3.0,,,,,,,,,,,,,4.0,NT,25.2,0.484848485,"Rossiter St [NE], Ryland Rd [SE], Rossiter St [SW], Ryland Rd [NW]",Darwin,-12.380754,15.0,16.0,31.0,14.0,11.0,25.0,10.0,16.0,26.0,10.0,6.0,16.0,,,,,,,130.85885,1,5481.0,2019
2019-09-03,9.0,8.0,,,,7.0,18.0,,,,11.0,9.0,,,,,,,,,,,,,,,,,,,3.0,NT,33.6,0.24,"Chapman Rd [NE], Nightcliff Rd [SE], Nightcliff Rd [NW]",Darwin,-12.384294,17.0,18.0,35.0,25.0,18.0,43.0,20.0,26.0,46.0,,,,,,,,,,130.855426,0,5482.0,2019
2019-09-03,17.0,26.0,,,,21.0,17.0,,,,81.0,7.0,,,,,,,,,,,,,,,,,,,3.0,NT,96.0,-0.137755102,"Rapid Creek Path Bridge [N], Foreshore Path [SE], Foreshore Path [W]",Darwin,-12.376238,43.0,102.0,145.0,38.0,24.0,62.0,88.0,43.0,131.0,,,,,,,,,,130.860332,1,5483.0,2019
2019-09-03,0.0,15.0,,,,16.0,8.0,,,,18.0,13.0,,,,,,,,,,,,,,,,,,,3.0,NT,41.0,-0.054054054,"Rocklands Dr [N], Trower Rd [E], Trower Rd [W]",Darwin,-12.365103,15.0,34.0,49.0,24.0,13.0,37.0,31.0,23.0,54.0,,,,,,,,,,130.87249,1,5484.0,2019
2019-09-03,0.0,13.0,24.0,,,0.0,0.0,6.0,,,6.0,1.0,28.0,,,0.0,0.0,2.0,,,,,,,,,,,,,4.0,NT,48.6,0.012658228,"Rocklands Dr [E], Roper St [S], Rocklands Dr [W], Florey Ave [N]",Darwin,-12.359174,37.0,6.0,43.0,6.0,1.0,7.0,35.0,15.0,50.0,2.0,58.0,60.0,,,,,,,130.882951,0,5485.0,2019
2019-09-03,2.0,6.0,,,,8.0,14.0,,,,9.0,2.0,,,,,,,,,,,,,,,,,,,3.0,NT,23.8,-0.327868852,"Henbury Ave [N], Tambling Tce [E], Henbury Ave [S]",Darwin,-12.365755,8.0,17.0,25.0,22.0,4.0,26.0,11.0,20.0,31.0,,,,,,,,,,130.885704,0,5486.0,2019
2019-09-03,2.0,4.0,,,,2.0,5.0,,,,14.0,1.0,,,,,,,,,,,,,,,,,,,3.0,NT,12.4,1.545454545,"Trower Rd [E], Rothdale Rd [S], Trower Rd [W]",Darwin,-12.382667,6.0,16.0,22.0,7.0,3.0,10.0,15.0,9.0,24.0,,,,,,,,,,130.876676,0,5487.0,2019
2019-09-03,1.0,8.0,9.0,,,2.0,2.0,12.0,,,8.0,0.0,4.0,,,2.0,6.0,1.0,,,,,,,,,,,,,4.0,NT,27.0,0.195652174,"Lee Point Rd [NE], Lee Point Rd [SE], Parer Dr [SW], Parer Dr [NW]",Darwin,-12.386554,18.0,12.0,30.0,16.0,7.0,23.0,12.0,11.0,23.0,9.0,25.0,34.0,,,,,,,130.886736,0,5488.0,2019
2019-09-03,1.0,0.0,28.0,0.0,,0.0,5.0,16.0,0.0,,2.0,2.0,0.0,1.0,,17.0,8.0,0.0,0.0,,2.0,0.0,4.0,3.0,,,,,,,5.0,NT,50.0,-0.101010101,"Stuart Hwy path [N], Stuart Hwy [NE], McMinn St [SE], Daly St [SW], McMinn St [NW]",Darwin,-12.454653,29.0,21.0,50.0,21.0,11.0,32.0,5.0,9.0,14.0,25.0,47.0,72.0,9.0,1.0,10.0,,,,130.839183,1,5507.0,2019
2019-09-24,1.0,49.0,,,,5.0,0.0,,,,39.0,3.0,,,,,,,,,,,,,,,,,,,3.0,NT,54.4,-0.067307692,"Stuart Hwy/Bike Path [N], Westralia St [E], Stuart Hwy/Bike Path [S]",Darwin,-12.445064,50.0,44.0,94.0,5.0,4.0,9.0,42.0,49.0,91.0,,,,,,,,,,130.84106,0,5508.0,2019
2019-09-03,2.0,5.0,0.0,,,0.0,4.0,5.0,,,4.0,2.0,2.0,,,1.0,2.0,3.0,,,,,,,,,,,,,4.0,NT,16.0,-0.117647059,"Tiger Brennan Dr [NE], Stoddart Dr [SE], Tiger Brennan Dr [SW], Woolner Rd [NW]",Darwin,-12.43842,7.0,5.0,12.0,9.0,6.0,15.0,8.0,12.0,20.0,6.0,7.0,13.0,,,,,,,130.850134,0,5509.0,2019
2019-09-03,40.0,0.0,2.0,,,25.0,1.0,8.0,,,0.0,0.0,0.0,,,3.0,16.0,1.0,,,,,,,,,,,,,4.0,NT,51.0,-0.172413793,"Stuart Hwy [E], Stuart Hwy [SW], Stokes St [W], Parap Rd [N]",Darwin,-12.435826,42.0,28.0,70.0,34.0,56.0,90.0,0.0,2.0,2.0,20.0,10.0,30.0,,,,,,,130.843351,4,5510.0,2019
2019-09-03,68.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,18.0,10.0,,,,,,,,,,,,,4.0,NT,53.6,0.230769231,"Stuart Hwy [NE], Snell St [SE], Stuart Hwy [SW], Bagot Rd [N]",Darwin,-12.429357,68.0,0.0,68.0,0.0,86.0,86.0,0.0,10.0,10.0,28.0,0.0,28.0,,,,,,,130.856979,0,5512.0,2019
2019-09-03,36.0,3.0,,,,15.0,0.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,3.0,NT,25.4,-0.080645161,"Bagot Rd [N], Bagot Rd [S], Fitzer Dr [W]",Darwin,-12.410494,39.0,16.0,55.0,15.0,38.0,53.0,3.0,3.0,6.0,,,,,,,,,,130.856116,0,5513.0,2019
2019-09-03,16.0,0.0,0.0,,,0.0,0.0,15.0,,,0.0,4.0,4.0,,,0.0,17.0,4.0,,,,,,,,,,,,,4.0,NT,28.2,0.578947368,"Osgood Dr [E], Bagot Rd [S], Totem Rd [W], Bagot Rd [N]",Darwin,-12.402638,16.0,0.0,16.0,15.0,37.0,52.0,8.0,4.0,12.0,21.0,19.0,40.0,,,,,,,130.856105,0,5514.0,2019
2019-09-03,1.0,13.0,1.0,,,1.0,4.0,0.0,,,18.0,4.0,0.0,,,0.0,1.0,1.0,,,,,,,,,,,,,4.0,NT,23.6,0.466666667,"Bagot Rd [N], Old McMillans Rd [E], Bagot Rd [S], Old McMillans Rd [W]",Darwin,-12.395324,15.0,19.0,34.0,5.0,6.0,11.0,22.0,18.0,40.0,2.0,1.0,3.0,,,,,,,130.856016,1,5515.0,2019
2019-09-03,5.0,9.0,,,,2.0,1.0,,,,11.0,1.0,,,,,,,,,,,,,,,,,,,3.0,NT,15.0,-0.30952381,"Trower Rd [NE], Sabine Rd [SE], Trower Rd [SW]",Darwin,-12.387763,14.0,13.0,27.0,3.0,6.0,9.0,12.0,10.0,22.0,,,,,,,,,,130.858441,0,5516.0,2019
2019-09-03,37.0,4.0,,,,9.0,2.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,3.0,NT,26.4,0.018867925,"McMillans Rd [E], McMillans Rd [SW], Sabine Rd [NW]",Darwin,-12.39561,41.0,9.0,50.0,11.0,39.0,50.0,2.0,6.0,8.0,,,,,,,,,,130.862539,0,5517.0,2019
2019-09-03,0.0,21.0,16.0,,,5.0,0.0,7.0,,,11.0,0.0,1.0,,,14.0,7.0,1.0,,,,,,,,,,,,,4.0,NT,43.2,-0.06741573,"Trower Rd [E], Rapid Creek Rd [S], Trower Rd [W], Rapid Creek Rd [N]",Darwin,-12.385471,37.0,30.0,67.0,12.0,7.0,19.0,12.0,22.0,34.0,22.0,24.0,46.0,,,,,,,130.864514,0,5518.0,2019
2019-09-03,1.0,11.0,0.0,,,9.0,15.0,0.0,,,13.0,1.0,0.0,,,1.0,0.0,0.0,,,,,,,,,,,,,4.0,NT,24.0,0.307692308,"Trower Rd [N], Vanderlin Dr [E], Trower Rd [S], Casuarina Shops [W]",Darwin,-12.375801,12.0,23.0,35.0,24.0,2.0,26.0,14.0,26.0,40.0,1.0,0.0,1.0,,,,,,,130.88271,1,5519.0,2019
2019-09-03,6.0,6.0,4.0,,,1.0,1.0,4.0,,,4.0,3.0,2.0,,,1.0,5.0,6.0,,,,,,,,,,,,,4.0,NT,24.4,0.131578947,"Lee Point Rd [N], Vanderlin Dr [E], Lee Point Rd [S], Vanderlin Rd [W]",Darwin,-12.377512,16.0,6.0,22.0,6.0,14.0,20.0,9.0,13.0,22.0,12.0,10.0,22.0,,,,,,,130.890756,3,5520.0,2019
2019-09-03,2.0,18.0,,,,0.0,3.0,,,,15.0,8.0,,,,,,,,,,,,,,,,,,,3.0,NT,21.0,0.916666667,"Vanderlin Dr/Bike Path [SE], Mueller Rd [SW], Vanderlin Dr/Bike Path [NW]",Darwin,-12.390698,20.0,15.0,35.0,3.0,10.0,13.0,23.0,21.0,44.0,,,,,,,,,,130.911463,0,5521.0,2019
2019-09-03,7.0,5.0,3.0,,,7.0,3.0,19.0,,,2.0,0.0,1.0,,,7.0,7.0,11.0,,,,,,,,,,,,,4.0,NT,26.4,0.8,"Vanderlin Dr [N], McMillans Rd [SE], Vanderlin Dr [S], McMillans Rd [NW]",Darwin,-12.410151,15.0,16.0,31.0,29.0,14.0,43.0,3.0,19.0,22.0,25.0,23.0,48.0,,,,,,,130.922994,1,5523.0,2019
2019-09-03,1.0,36.0,1.0,,,0.0,0.0,1.0,,,12.0,0.0,1.0,,,4.0,4.0,0.0,,,,,,,,,,,,,4.0,NT,27.8,0.0,"McMillans Rd [E], Charles Eaton Dr [SE], McMillans Rd [W], Rapid Crk Cyclepath [NW]",Darwin,-12.395447,38.0,16.0,54.0,1.0,5.0,6.0,13.0,36.0,49.0,8.0,3.0,11.0,,,,,,,130.871723,4,5524.0,2019
2019-09-03,5.0,3.0,8.0,,,1.0,0.0,31.0,,,1.0,0.0,0.0,,,3.0,13.0,0.0,,,,,,,,,,,,,4.0,NT,25.8,0.710526316,"Rothdale Rd [N], McMillans Rd [E], Henry Wrigley Dr [S], McMillans Rd [W]",Darwin,-12.395413,16.0,5.0,21.0,32.0,18.0,50.0,1.0,3.0,4.0,16.0,39.0,55.0,,,,,,,130.878263,0,5525.0,2019
2019-09-03,3.0,4.0,1.0,,,1.0,0.0,26.0,,,1.0,0.0,1.0,,,2.0,12.0,1.0,,,,,,,,,,,,,4.0,NT,22.6,-0.018867925,"Lee Point Rd [N], McMillans Rd [E], Marrara Dr [S], McMillans Rd [W]",Darwin,-12.39541,8.0,4.0,12.0,27.0,15.0,42.0,2.0,5.0,7.0,15.0,28.0,43.0,,,,,,,130.882965,0,5526.0,2019
2019-09-24,3.0,0.0,6.0,,,1.0,0.0,23.0,,,0.0,0.0,0.0,,,0.0,24.0,0.0,,,,,,,,,,,,,4.0,NT,27.6,0.5,"Amy Johnson Ave [N], Stuart Hwy [E], Amy Johnson Ave [SW], Stuart Hwy [W]",Darwin,-12.427641,9.0,1.0,10.0,24.0,27.0,51.0,0.0,0.0,0.0,24.0,29.0,53.0,,,,,,,130.907681,2,5527.0,2019
2019-09-24,0.0,6.0,1.0,,,2.0,5.0,7.0,,,1.0,0.0,0.0,,,2.0,12.0,1.0,,,,,,,,,,,,,4.0,NT,18.6,-0.229166667,"Vanderlin Dr [N], Stuart Hwy [E], Berrimah Rd [S], Stuart Hwy [W]",Darwin,-12.433465,7.0,5.0,12.0,14.0,12.0,26.0,1.0,12.0,13.0,15.0,8.0,23.0,,,,,,,130.923379,1,5528.0,2019
2019-09-03,23.0,10.0,,,,19.0,18.0,,,,22.0,23.0,,,,,,,,,,,,,,,,,,,3.0,NT,59.8,0.402439024,"Dick Ward Dr [E], East point Rd/Bike Path [S], East Point Rd/Bike Path [NW]",Darwin,-12.424536,33.0,41.0,74.0,37.0,46.0,83.0,45.0,28.0,73.0,,,,,,,,,,130.835473,11,5585.0,2019
2019-09-03,1.0,35.0,,,,2.0,4.0,,,,71.0,33.0,,,,,,,,,,,,,,,,,,,3.0,NT,82.4,-0.020134228,"Casuarina Foreshore Path [N], Casuarina Foreshore Path [E], Casuarina Foreshore Path [S]",Darwin,-12.371739,36.0,73.0,109.0,6.0,34.0,40.0,104.0,39.0,143.0,,,,,,,,,,130.863139,1,5981.0,2019
2019-09-03,0.0,1.0,,,,1.0,2.0,,,,12.0,2.0,,,,,,,,,,,,,,,,,,,3.0,NT,8.4,0.058823529,"Rothdale Rd [S], Freshwater Rd [W], Rothdale Rd [N]",Darwin,-12.391632,1.0,13.0,14.0,3.0,2.0,5.0,14.0,3.0,17.0,,,,,,,,,,130.877968,0,6188.0,2019
2019-09-03,25.0,22.0,,,,7.0,7.0,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,3.0,NT,39.6,0.28,"Lee Point Rd [N], Lee Point Rd [S], Tambling Tce [W]",Darwin,-12.366516,47.0,7.0,54.0,14.0,28.0,42.0,3.0,29.0,32.0,,,,,,,,,,130.892152,1,6808.0,2019
