Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year
3/09/2019,0,21,16,0,5,0,7,0,11,0,1,0,14,7,1,0,0,0,0,0,4,NT,43.2,-0.06741573,"Trower Rd [E], Rapid Creek Rd [S], Trower Rd [W], Rapid Creek Rd [N]",Darwin,-12.385471,37,30,67,12,7,19,12,22,34,22,24,46,0,0,0,130.864514,0,5518,2019
3/09/2019,1,11,0,0,9,15,0,0,13,1,0,0,1,0,0,0,0,0,0,0,4,NT,24.0,0.307692308,"Trower Rd [N], Vanderlin Dr [E], Trower Rd [S], Casuarina Shops [W]",Darwin,-12.375801,12,23,35,24,2,26,14,26,40,1,0,1,0,0,0,130.88271,1,5519,2019
3/09/2019,6,6,4,0,1,1,4,0,4,3,2,0,1,5,6,0,0,0,0,0,4,NT,24.4,0.131578947,"Lee Point Rd [N], Vanderlin Dr [E], Lee Point Rd [S], Vanderlin Rd [W]",Darwin,-12.377512,16,6,22,6,14,20,9,13,22,12,10,22,0,0,0,130.890756,3,5520,2019
3/09/2019,2,18,0,0,0,3,0,0,15,8,0,0,0,0,0,0,0,0,0,0,3,NT,21.0,0.916666667,"Vanderlin Dr/Bike Path [SE], Mueller Rd [SW], Vanderlin Dr/Bike Path [NW]",Darwin,-12.390698,20,15,35,3,10,13,23,21,44,0,0,0,0,0,0,130.911463,0,5521,2019
3/09/2019,7,5,3,0,7,3,19,0,2,0,1,0,7,7,11,0,0,0,0,0,4,NT,26.4,0.8,"Vanderlin Dr [N], McMillans Rd [SE], Vanderlin Dr [S], McMillans Rd [NW]",Darwin,-12.410151,15,16,31,29,14,43,3,19,22,25,23,48,0,0,0,130.922994,1,5523,2019
3/09/2019,1,36,1,0,0,0,1,0,12,0,1,0,4,4,0,0,0,0,0,0,4,NT,27.8,0.0,"McMillans Rd [E], Charles Eaton Dr [SE], McMillans Rd [W], Rapid Crk Cyclepath [NW]",Darwin,-12.395447,38,16,54,1,5,6,13,36,49,8,3,11,0,0,0,130.871723,4,5524,2019
3/09/2019,5,3,8,0,1,0,31,0,1,0,0,0,3,13,0,0,0,0,0,0,4,NT,25.8,0.710526316,"Rothdale Rd [N], McMillans Rd [E], Henry Wrigley Dr [S], McMillans Rd [W]",Darwin,-12.395413,16,5,21,32,18,50,1,3,4,16,39,55,0,0,0,130.878263,0,5525,2019
3/09/2019,3,4,1,0,1,0,26,0,1,0,1,0,2,12,1,0,0,0,0,0,4,NT,22.6,-0.018867925,"Lee Point Rd [N], McMillans Rd [E], Marrara Dr [S], McMillans Rd [W]",Darwin,-12.39541,8,4,12,27,15,42,2,5,7,15,28,43,0,0,0,130.882965,0,5526,2019
24/09/2019,3,0,6,0,1,0,23,0,0,0,0,0,0,24,0,0,0,0,0,0,4,NT,27.6,0.5,"Amy Johnson Ave [N], Stuart Hwy [E], Amy Johnson Ave [SW], Stuart Hwy [W]",Darwin,-12.427641,9,1,10,24,27,51,0,0,0,24,29,53,0,0,0,130.907681,2,5527,2019
24/09/2019,0,6,1,0,2,5,7,0,1,0,0,0,2,12,1,0,0,0,0,0,4,NT,18.6,-0.229166667,"Vanderlin Dr [N], Stuart Hwy [E], Berrimah Rd [S], Stuart Hwy [W]",Darwin,-12.433465,7,5,12,14,12,26,1,12,13,15,8,23,0,0,0,130.923379,1,5528,2019
3/09/2019,23,10,0,0,19,18,0,0,22,23,0,0,0,0,0,0,0,0,0,0,3,NT,59.8,0.402439024,"Dick Ward Dr [E], East point Rd/Bike Path [S], East Point Rd/Bike Path [NW]",Darwin,-12.424536,33,41,74,37,46,83,45,28,73,0,0,0,0,0,0,130.835473,11,5585,2019
3/09/2019,1,35,0,0,2,4,0,0,71,33,0,0,0,0,0,0,0,0,0,0,3,NT,82.4,-0.020134228,"Casuarina Foreshore Path [N], Casuarina Foreshore Path [E], Casuarina Foreshore Path [S]",Darwin,-12.371739,36,73,109,6,34,40,104,39,143,0,0,0,0,0,0,130.863139,1,5981,2019
3/09/2019,0,1,0,0,1,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,3,NT,8.4,0.058823529,"Rothdale Rd [S], Freshwater Rd [W], Rothdale Rd [N]",Darwin,-12.391632,1,13,14,3,2,5,14,3,17,0,0,0,0,0,0,130.877968,0,6188,2019
3/09/2019,25,22,0,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,NT,39.6,0.28,"Lee Point Rd [N], Lee Point Rd [S], Tambling Tce [W]",Darwin,-12.366516,47,7,54,14,28,42,3,29,32,0,0,0,0,0,0,130.892152,1,6808,2019
3/09/2019,0,9,14,0,0,8,3,2,1,3,0,0,2,0,0,0,1,1,2,0,5,NT,22.0,0.277777778,"Tiger Brennan Drive north bound [N], Frances Bay Drive north bound [NE], Frances Bay Drive south bound [S], Tiger Brennan Drive south bound [SW], Dinah Beach Rd [W]",Darwin,-12.45294,23,4,27,13,4,17,4,19,23,2,17,19,4,2,6,130.847549,0,6949,2019
3/09/2019,7,10,0,0,8,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,3,NT,17.4,0.027027027,"Dripstone Rd [SE], Lakeside Dr [SW], Dripstone Rd [NW]",Darwin,-12.374524,17,14,31,13,9,22,8,15,23,0,0,0,0,0,0,130.87454,0,7123,2019
3/09/2019,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,NT,3.0,0.0,"Berrimah Rd [N], Tiger Brennan Dr [E], Berrimah Rd [S], Tiger Brennan Dr [W]",Darwin,-12.45,3,1,4,0,1,1,1,3,4,1,0,1,0,0,0,130.9235,0,7130,2019
3/09/2019,2,5,7,0,1,0,26,0,6,3,7,0,16,8,3,0,0,0,0,0,4,NT,45.0,0.423728814,"Fox Cr [NE], Nightcliff Rd [SE], Camphor St [SW], Nightcliff Rd [NW]",Darwin,-12.382654,14,23,37,27,13,40,16,8,24,27,40,67,0,0,0,130.853932,1,7249,2019
4/09/2019,17,0,2,0,3,0,8,0,0,0,0,0,2,7,0,0,0,0,0,0,4,NT,19.2,0.0,"Garramilla Blvd [NE], McMinn St [SE], Garramilla Blvd [SW], McMinn St [NW]",Darwin,-12.458133,19,5,24,11,24,35,0,0,0,9,10,19,0,0,0,130.8427,0,7351,2019
3/09/2019,11,3,0,0,14,20,0,0,8,9,0,0,0,0,0,0,0,0,0,0,3,NT,30.6,1.03125,"McMillans Rd [NE], Stuart Hwy [SE], Stuart Hwy [NW]",Palmerston,-12.444442,14,22,36,34,20,54,17,23,40,0,0,0,0,0,0,130.952575,0,5500,2019
3/09/2019,0,8,0,0,0,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,NT,11.2,0.222222222,"Roystonea Ave [SE], University Ave [SW], Roystonea Ave [NW]",Palmerston,-12.475906,8,2,10,7,5,12,7,15,22,0,0,0,0,0,0,130.985374,0,5501,2019
3/09/2019,4,5,0,0,1,4,6,0,3,2,0,0,1,15,0,0,0,0,0,0,4,NT,21.2,-0.023809524,"Roystonea Ave [N], Lambrick Ave [E], Roystonea Ave [S], Lambrick Ave [W]",Palmerston,-12.502173,9,5,14,11,21,32,5,9,14,16,6,22,0,0,0,130.998955,0,5982,2019
3/09/2019,0,0,0,0,0,6,5,0,3,1,6,0,0,4,5,0,0,0,0,0,4,NT,16.8,0.034482759,"Lambrick Ave [E], Zuccoli Pde [S], Lambrick Ave [W], Farrar Blvd [N]",Palmerston,-12.501095,0,3,3,11,5,16,10,11,21,9,11,20,0,0,0,131.006133,1,6566,2019
3/09/2019,0,1,1,0,0,0,4,0,2,1,6,0,0,3,0,0,0,0,0,0,4,NT,6.8,0.058823529,"Temple Tce [NE], Roystonea Ave/Footpath [SE], Temple Tce/Footpath [SW], Roystonea Ave/Footpath [NW]",Palmerston,-12.479334,2,2,4,4,4,8,9,1,10,3,11,14,0,0,0,130.988479,1,6807,2019
3/09/2019,0,1,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,NT,2.8,-0.181818182,"Temple Terrace [NE], Farrar Boulevard [SE], Temple Terrace [SW], Toupein Road [NW]",Palmerston,-12.476771,1,7,8,6,0,6,2,1,3,0,1,1,0,0,0,130.99263,0,6951,2019
3/09/2019,2,1,1,0,13,0,6,0,4,3,3,0,0,1,1,0,0,0,0,0,4,NT,15.8,0.4,"Yarrawonga Rd [NE], Roystonea Ave [SE], Packard Ave [W], Roystonea Ave [NW]",Palmerston,-12.473,4,17,21,19,6,25,10,2,12,2,10,12,0,0,0,130.983,0,7127,2019
3/09/2019,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,NT,1.6,-0.5,"University Ave [E], Elrundie Ave [S], Kirkland Rd [W]",Palmerston,-12.481,2,2,4,1,2,3,1,0,1,0,0,0,0,0,0,130.97,0,7128,2019
3/09/2019,0,0,0,0,0,0,6,0,2,2,3,0,0,0,5,0,0,0,0,0,4,NT,5.4,0.125,"Howard Springs Rd [NE], Howard Springs shared path [SE], Howard Springs Rd [SW], Howard Springs shared path [NW]",Palmerston,-12.493,0,2,2,6,2,8,7,5,12,5,9,14,0,0,0,131.019,5,7129,2019
3/09/2019,3,21,14,0,10,5,2,0,33,7,0,0,11,1,0,0,0,0,0,0,4,NT,59.8,-0.189393939,"Casuarina Dr/Shared Path [E], Nightcliff Rd [SE], Casuarina Dr/Shared Path [SW], Foreshore Shared Path [W]",Darwin,-12.376827,38,54,92,17,11,28,40,26,66,12,16,28,0,0,0,130.849571,0,5480,2019
