Model,Accuracy,Precision,Recall,F1_Score
GaussianNB,0.45435492321953974,0.3850037289808171,0.45435492321953974,0.3537491923752501
Linear_SVM,0.45681351013663296,0.32311017238602613,0.45681351013663296,0.35481237413581473
Polynomial_SVM,0.45834508887187136,0.46236949996645077,0.45834508887187136,0.3410441944792885
Gaussian_SVM,0.4855507637741324,0.42119539181237187,0.4855507637741324,0.39238441428280396
Random_Forest,0.7127080730321228,0.711954132489115,0.7127080730321228,0.7097821859153759
