Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,comparison,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year,Trips/hour
25,22,0,0,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0.28,-12.366516,47,7,54,14,28,42,3,29,32,0,0,0,0,0,0,130.892152,1,6808,2019,39.6
0,9,14,0,0,8,3,2,1,3,0,0,2,0,0,0,1,1,2,0,5,0.277777778,-12.45294,23,4,27,13,4,17,4,19,23,2,17,19,4,2,6,130.847549,0,6949,2019,22.0
7,10,0,0,8,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,3,0.027027027,-12.374524,17,14,31,13,9,22,8,15,23,0,0,0,0,0,0,130.87454,0,7123,2019,17.4
0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0.0,-12.45,3,1,4,0,1,1,1,3,4,1,0,1,0,0,0,130.9235,0,7130,2019,3.0
2,5,7,0,1,0,26,0,6,3,7,0,16,8,3,0,0,0,0,0,4,0.423728814,-12.382654,14,23,37,27,13,40,16,8,24,27,40,67,0,0,0,130.853932,1,7249,2019,45.0
17,0,2,0,3,0,8,0,0,0,0,0,2,7,0,0,0,0,0,0,4,0.0,-12.458133,19,5,24,11,24,35,0,0,0,9,10,19,0,0,0,130.8427,0,7351,2019,19.2
11,3,0,0,14,20,0,0,8,9,0,0,0,0,0,0,0,0,0,0,3,1.03125,-12.444442,14,22,36,34,20,54,17,23,40,0,0,0,0,0,0,130.952575,0,5500,2019,30.6
0,8,0,0,0,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0.222222222,-12.475906,8,2,10,7,5,12,7,15,22,0,0,0,0,0,0,130.985374,0,5501,2019,11.2
4,5,0,0,1,4,6,0,3,2,0,0,1,15,0,0,0,0,0,0,4,-0.023809524,-12.502173,9,5,14,11,21,32,5,9,14,16,6,22,0,0,0,130.998955,0,5982,2019,21.2
0,0,0,0,0,6,5,0,3,1,6,0,0,4,5,0,0,0,0,0,4,0.034482759,-12.501095,0,3,3,11,5,16,10,11,21,9,11,20,0,0,0,131.006133,1,6566,2019,16.8
0,1,1,0,0,0,4,0,2,1,6,0,0,3,0,0,0,0,0,0,4,0.058823529,-12.479334,2,2,4,4,4,8,9,1,10,3,11,14,0,0,0,130.988479,1,6807,2019,6.8
0,1,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,-0.181818182,-12.476771,1,7,8,6,0,6,2,1,3,0,1,1,0,0,0,130.99263,0,6951,2019,2.8
2,1,1,0,13,0,6,0,4,3,3,0,0,1,1,0,0,0,0,0,4,0.4,-12.473,4,17,21,19,6,25,10,2,12,2,10,12,0,0,0,130.983,0,7127,2019,15.8
2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,-0.5,-12.481,2,2,4,1,2,3,1,0,1,0,0,0,0,0,0,130.97,0,7128,2019,1.6
0,0,0,0,0,0,6,0,2,2,3,0,0,0,5,0,0,0,0,0,4,0.125,-12.493,0,2,2,6,2,8,7,5,12,5,9,14,0,0,0,131.019,5,7129,2019,5.4
3,21,14,0,10,5,2,0,33,7,0,0,11,1,0,0,0,0,0,0,4,-0.189393939,-12.376827,38,54,92,17,11,28,40,26,66,12,16,28,0,0,0,130.849571,0,5480,2019,59.8
3,4,0,0,5,20,0,0,1,20,0,0,0,0,0,0,0,0,0,0,3,-0.053571429,-12.387972,7,6,13,25,23,48,21,24,45,0,0,0,0,0,0,130.852268,1,5478,2019,24.8
1,59,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0.257142857,-12.410053,60,26,86,2,1,3,26,61,87,0,0,0,0,0,0,130.8505,1,5477,2019,48.8
10,48,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0.25,-12.42052,58,32,90,1,10,11,31,48,79,0,0,0,0,0,0,130.847323,0,5476,2019,48.4
7,36,0,0,6,13,0,0,20,19,0,0,0,0,0,0,0,0,0,0,3,0.24691358,-12.424494,43,26,69,19,26,45,39,49,88,0,0,0,0,0,0,130.838362,0,5475,2019,55.6
14,4,0,0,1,26,0,0,9,32,0,0,0,0,0,0,0,0,0,0,3,-0.054945055,-12.432258,18,10,28,27,46,73,41,30,71,0,0,0,0,0,0,130.837681,86,5474,2019,49.8
1,30,7,0,2,5,26,0,14,2,17,0,0,1,1,0,0,0,0,0,4,-0.131147541,-12.438015,38,16,54,33,4,37,33,36,69,2,50,52,0,0,0,130.837831,5,5473,2019,60.8
0,2,9,0,0,10,11,0,2,3,1,0,13,4,0,0,1,0,0,0,5,0.166666667,-12.444327,11,16,27,21,7,28,6,12,18,17,21,38,1,0,1,130.834038,3,5472,2019,31.6
5,13,1,0,3,1,3,0,7,0,1,0,7,4,2,0,0,0,0,0,4,-0.253968254,-12.452352,19,17,36,7,9,16,8,16,24,13,5,18,0,0,0,130.830522,1,5471,2019,25.0
20,24,1,0,5,1,4,0,8,1,1,0,4,15,2,0,0,0,0,0,4,-0.011494253,-12.456674,45,17,62,10,36,46,10,27,37,21,6,27,0,0,0,130.837168,1,5470,2019,48.4
14,10,5,0,1,1,5,0,6,0,2,0,7,22,6,0,0,0,0,0,4,-0.05952381,-12.457703,29,14,43,7,36,43,8,17,25,35,12,47,0,0,0,130.836128,1,5469,2019,42.0
5,7,4,0,1,0,4,0,1,1,10,0,5,18,29,0,0,0,0,0,4,-0.04494382,-12.458635,16,7,23,5,24,29,12,36,48,52,18,70,0,0,0,130.835209,10,5468,2019,44.8
4,1,0,0,1,7,0,0,3,37,0,0,0,0,0,0,0,0,0,0,3,-0.070175439,-12.463135,5,4,9,8,41,49,40,8,48,0,0,0,0,0,0,130.837902,0,5467,2019,23.0
17,26,0,0,21,17,0,0,81,7,0,0,0,0,0,0,0,0,0,0,3,-0.137755102,-12.376238,43,102,145,38,24,62,88,43,131,0,0,0,0,0,0,130.860332,1,5483,2019,96.0
9,8,0,0,7,18,0,0,11,9,0,0,0,0,0,0,0,0,0,0,3,0.24,-12.384294,17,18,35,25,18,43,20,26,46,0,0,0,0,0,0,130.855426,0,5482,2019,33.6
3,12,0,0,9,1,4,0,7,1,2,0,0,7,3,0,0,0,0,0,4,0.484848485,-12.380754,15,16,31,14,11,25,10,16,26,10,6,16,0,0,0,130.85885,1,5481,2019,25.2
1,1,0,0,0,5,0,0,1,21,0,0,0,0,0,0,0,0,0,0,3,-0.452830189,-12.463135,2,1,3,5,22,27,22,6,28,0,0,0,0,0,0,130.837902,0,5467,2021,14.4
7,8,5,0,1,0,2,0,3,0,7,0,2,10,7,0,0,0,0,0,4,-0.388235294,-12.458635,20,6,26,3,17,20,10,15,25,19,14,33,0,0,0,130.835209,0,5468,2021,29.4
5,16,11,0,1,4,7,0,1,2,0,0,3,29,5,0,0,0,0,0,4,0.063291139,-12.457703,32,5,37,12,36,48,3,25,28,37,18,55,0,0,0,130.836128,1,5469,2021,44.8
9,26,0,0,2,0,4,0,3,4,1,0,2,16,5,0,0,0,0,0,4,-0.162790698,-12.456674,35,7,42,6,29,35,8,31,39,23,5,28,0,0,0,130.837168,1,5470,2021,38.8
9,10,1,0,12,0,5,0,5,2,2,0,11,5,1,0,0,0,0,0,4,0.340425532,-12.452352,20,28,48,17,16,33,9,11,20,17,8,25,0,0,0,130.830522,0,5471,2021,34.4
1,8,7,0,3,4,8,0,5,0,2,0,0,3,0,0,0,0,0,0,4,-0.254545455,-12.386554,16,8,24,15,4,19,7,12,19,3,17,20,0,0,0,130.886736,0,5488,2021,18.0
1,4,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,-0.428571429,-12.382667,5,10,15,3,2,5,8,4,12,0,0,0,0,0,0,130.876676,0,5487,2021,7.4
5,4,0,0,30,7,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3,0.390243902,-12.365755,9,39,48,37,7,44,11,11,22,0,0,0,0,0,0,130.885704,0,5486,2021,29.6
0,11,25,0,2,3,1,0,5,1,23,0,1,0,1,0,0,0,0,0,4,-0.0875,-12.359174,36,8,44,6,1,7,29,15,44,2,49,51,0,0,0,130.882951,0,5485,2021,40.6
4,13,0,0,4,7,0,0,15,14,0,0,0,0,0,0,0,0,0,0,3,-0.185714286,-12.365103,17,19,36,11,18,29,29,20,49,0,0,0,0,0,0,130.87249,0,5484,2021,32.0
