site_id,year,Count_Date,electorate,Trips/hour,avg_Diesel_14d,avg_Unleaded_91_14d,avg_Premium_95_14d,PC1_fuel_price
5467.0,2019,2019-09-03,Darwin,23.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5467.0,2021,2021-07-27,Darwin,14.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5468.0,2019,2019-09-03,Darwin,44.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5468.0,2021,2021-07-27,Darwin,29.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5469.0,2019,2019-09-03,Darwin,42.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5469.0,2021,2021-07-27,Darwin,44.8,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5470.0,2021,2021-07-27,Darwin,38.8,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5471.0,2019,2019-09-03,Darwin,25.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5471.0,2021,2021-07-27,Darwin,34.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5471.0,2023,2023-07-25,Darwin,32.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5472.0,2019,2019-09-03,Darwin,31.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5472.0,2021,2021-08-24,Darwin,40.8,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5472.0,2023,2023-07-25,Darwin,32.4,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5473.0,2019,2019-09-03,Darwin,60.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5473.0,2021,2021-07-27,Darwin,55.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5473.0,2023,2023-08-01,Darwin,39.8,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
5474.0,2019,2019-09-03,Darwin,49.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5474.0,2021,2021-07-27,Darwin,48.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5474.0,2023,2023-07-25,Darwin,32.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5475.0,2019,2019-09-03,Darwin,55.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5475.0,2021,2021-07-27,Darwin,71.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5475.0,2023,2023-07-25,Darwin,36.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
